city,newcity1,newcountry1
sarasota (myaka state park),sarasota,myaka state park
sarasota county,sarasota county,
saratoga,saratoga,
saratoga lake,saratoga lake,
saratoga lake/saratoga springs,saratoga lakesaratoga springs,
saratoga springs,saratoga springs,
saratoga springs (crescent &amp; kaydeross ave.),saratoga springs,crescent amp kaydeross ave
saratoga springs/malta,saratoga springsmalta,
sarawak (malaysia),sarawak,malaysia
sarawak/miri (malaysia),sarawakmiri,malaysia
sardis lake,sardis lake,
sargent,sargent,
sarnia (canada),sarnia,canada
sarnia/blue point area (canada),sarniablue point area,canada
sarona,sarona,
sarpsborg (norway),sarpsborg,norway
sarpy county,sarpy county,
sartell,sartell,
sartoga,sartoga,
saskachewan to manitoba (canada),saskachewan to manitoba,canada
saskatoon (approx 10 minutes west of) (canada),saskatoon,
saskatoon (canada),saskatoon,canada
sassuolo (italy),sassuolo,italy
satara (india),satara,india
satellite beach,satellite beach,
satellite point (near&#44 midway between orlando &amp; boca),satellite point,us
satsuma,satsuma,
sauble beach (canada),sauble beach,canada
saucier,saucier,
saudi arabia,saudi arabia,
saugatuck,saugatuck,
saugeen shores (canada),saugeen shores,canada
saugerties,saugerties,
saugerties/kingston,saugertieskingston,
saugerties/palenville,saugertiespalenville,
saugus,saugus,
sauk centre,sauk centre,
sauk city,sauk city,
saukville,saukville,
sault st  marie (canada),sault st marie,canada
sault ste marie (canada),sault ste marie,canada
sault ste. marie,sault ste marie,
sault ste. marie (canada),sault ste marie,canada
sault ste. marie (east of; algoma district)) (canada),sault ste marie,canada
sault ste. marie (north of) (canada),sault ste marie,canada
sault ste. marie (south of),sault ste marie,
saunemin,saunemin,
sausalito,sausalito,
sautee nacoochee,sautee nacoochee,
savage,savage,
savanah,savanah,
savanna,savanna,
savannah,savannah,
savannah (central),savannah,central
savannah (hunter afb),savannah,hunter afb
savannah (wilmington isl),savannah,wilmington isl
savannah (wilmington island),savannah,wilmington island
savannah/register (between),savannahregister,
savannah`,savannah,
savona,savona,
savona (canada),savona,canada
savoonga,savoonga,
savoonga&#44 st. lawrence island,savoonga44 st lawrence island,
sawerville (canada),sawerville,canada
sawgrass,sawgrass,
sawtooth national forest,sawtooth national forest,
sawyer,sawyer,
saxonburg,saxonburg,
saxton,saxton,
saxton (a small village in yorkshire) (uk/england),saxton,a small village in yorkshire uk
saxtons river,saxtons river,
saybrook,saybrook,
saylorsburg,saylorsburg,
sayre,sayre,
sayreville,sayreville,
sayville,sayville,
sayward (canada),sayward,canada
scales mound,scales mound,
scaley (outside highlands),scaley,
scandia,scandia,
scapoose,scapoose,
scappoose,scappoose,
scarborough,scarborough,
scarborough (canada),scarborough,canada
scarborough (toronto) (canada),scarborough,toronto canada
scarborough (uk/england),scarborough,uk
scarsdale,scarsdale,
schafhausen (germany),schafhausen,germany
schaumburg,schaumburg,
schaumburg area,schaumburg area,
schaumburg/ palatine/ rolling meadows,schaumburg palatine rolling meadows,
schaumburg/palatine/ rolling meadows,schaumburgpalatine rolling meadows,
schaumurg,schaumurg,
schellsburg,schellsburg,
schenectady,schenectady,
schenevus,schenevus,
schererville,schererville,
schererville/merrillville,scherervillemerrillville,
schertz,schertz,
schilde (belgium),schilde,belgium
schnecksville,schnecksville,
schneider,schneider,
schofield barracks,schofield barracks,
schofield barracks military area,schofield barracks military area,
schoharie,schoharie,
schoorl (netherlands),schoorl,netherlands
schoten (belgium),schoten,belgium
schroon lake,schroon lake,
schulenburg,schulenburg,
schuyler,schuyler,
schuyler county,schuyler county,
schuyler county area,schuyler county area,
schuyler falls,schuyler falls,
schuylerville,schuylerville,
schuylkill haven,schuylkill haven,
schwalmtal (germany),schwalmtal,germany
schweinfurt (west germany),schweinfurt,west germany
schwencksville,schwencksville,
schwenksville,schwenksville,
schwetzingen (germany),schwetzingen,germany
scio,scio,
sciota,sciota,
sciotoville,sciotoville,
scipio,scipio,
scipio center,scipio center,
scituate,scituate,
scofield barracks,scofield barracks,
scofield reservoir,scofield reservoir,
scorrsdale,scorrsdale,
scotch plains,scotch plains,
scotchtown,scotchtown,
scotland,scotland,
scotrun,scotrun,
scott,scott,
scott a.f.b.,scott afb,
scott afb (outside of),scott afb,
scott afb/centralia (between),scott afbcentralia,
scott city/chaffe (on hwy. m),scott citychaffe,
scott depot,scott depot,
scott township,scott township,
scotta valley,scotta valley,
scottdale,scottdale,
scottish borders (uk/scotland),scottish borders,uk
scotts bluff,scotts bluff,
scotts mills,scotts mills,
scotts valley,scotts valley,
scottsbluff,scottsbluff,
scottsbluff county (rural; western),scottsbluff county,rural western
scottsboro,scottsboro,
scottsdale,scottsdale,
scottsdale (north of),scottsdale,north of
scottsdale (phoenix),scottsdale,phoenix
scottsdale/phoenix,scottsdalephoenix,
scottsville,scottsville,
scottville,scottville,
scranton,scranton,
scranton/dickson,scrantondickson,
scranton/dunmore,scrantondunmore,
screven,screven,
scunthorpe (uk/england),scunthorpe,uk
sea bright,sea bright,
sea cliff,sea cliff,
sea girt,sea girt,
sea isle,sea isle,
sea isle city,sea isle city,
sea of cortez (mexico),sea of cortez,mexico
sea ranch,sea ranch,
sea tac airport,sea tac airport,
seabeck,seabeck,
seabrook,seabrook,
seabrook island,seabrook island,
seaford,seaford,
seaford (uk/england),seaford,uk
seaford/millsboro (from/to)millsboro&#44 to rehobot,seafordmillsboro,
seaford/old bridge,seafordold bridge,
seagoville,seagoville,
seagoville (city of&#44 and dallas city),seagoville,city of44 and dallas city
seagoville (dallas),seagoville,dallas
seagrove beach,seagrove beach,
seagrove beach (walton county),seagrove beach,walton county
seal beach,seal beach,
seal cove,seal cove,
seal rock,seal rock,
sealy lake,sealy lake,
searchlight,searchlight,
searcy,searcy,
sears point (blm property),sears point,
searsmont,searsmont,
seaside,seaside,
seaside heights,seaside heights,
seaside park,seaside park,
seatac,seatac,
seatle,seatle,
seaton (devon&#44 uk/england),seaton,
seaton (uk/england),seaton,uk
seattle,seattle,
seattle (1-90&#44 between mercer island and seattle),seattle,
seattle (80miles west of),seattle,80miles west of
seattle (above),seattle,above
seattle (alkii beach),seattle,alkii beach
seattle (area),seattle,area
seattle (ballard area),seattle,ballard area
seattle (ballard neighborhood),seattle,ballard neighborhood
seattle (ballard),seattle,ballard
seattle (belmont &amp; pike intersection),seattle,belmont amp pike intersection
seattle (boeing field),seattle,boeing field
seattle (corner of mercer and queen anne avenues),seattle,corner of mercer and queen anne avenues
seattle (downtown area),seattle,downtown area
seattle (downtown; shoreline),seattle,downtown shoreline
seattle (fremont bridge),seattle,fremont bridge
seattle (fremont district),seattle,fremont district
seattle (georgetown),seattle,georgetown
seattle (i-5 at about ne 65th),seattle,i5 at about ne 65th
seattle (leschi),seattle,leschi
seattle (madison park),seattle,madison park
seattle (north),seattle,north
seattle (northgate),seattle,northgate
seattle (outside),seattle,outside
seattle (shoreline district),seattle,shoreline district
seattle (shoreline),seattle,shoreline
seattle (skyway area),seattle,skyway area
seattle (skyway),seattle,skyway
seattle (south of&#44 in normandy park),seattle,south of44 in normandy park
seattle (south&#44 8600 block e marginal way south),seattle,south44 8600 block e marginal way south
seattle (univ of wa),seattle,univ of wa
seattle (university district),seattle,university district
seattle (wedgwood),seattle,wedgwood
seattle (west seattle),seattle,west seattle
seattle (west seattle/seatac),seattle,west seattle
seattle (west side),seattle,west side
seattle (west),seattle,west
seattle to tokyo (2 nwa flt 007),seattle to tokyo,
seattle/ballard,seattleballard,
seattle/belfair,seattlebelfair,
seattle/kirkland,seattlekirkland,
seattle/olympic mountains,seattleolympic mountains,
seattle/renton,seattlerenton,
seattle/shoreline,seattleshoreline,
seattle/tacoma,seattletacoma,
seattle/tacoma (between),seattletacoma,
seattle/tukwila,seattletukwila,
sebago,sebago,
sebago lake,sebago lake,
sebastian,sebastian,
sebastian inlet,sebastian inlet,
sebastian inlet (north of),sebastian inlet,
sebastopol,sebastopol,
sebeka,sebeka,
sebree,sebree,
sebring,sebring,
secane,secane,
secaucus,secaucus,
sechelt (canada),sechelt,canada
sector 18,sector 18,
secunda (south africa),secunda,south africa
secunderabad (india),secunderabad,india
security,security,
sedalia,sedalia,
sedgefield (uk/england),sedgefield,uk
sedgewick,sedgewick,
sedgley (uk/england),sedgley,uk
sedillo hill,sedillo hill,
sedona,sedona,
sedona  ( village of oak creek),sedona,village of oak creek
sedona (5 miles w. of),sedona,5 miles w of
sedona (outside of),sedona,outside of
sedona (route 89),sedona,route 89
sedona (south of),sedona,south of
sedona/verde valley,sedonaverde valley,
sedro wooley,sedro wooley,
sedro woolley,sedro woolley,
sedro-woolley,sedrowoolley,
seekonk,seekonk,
seeley lake,seeley lake,
seely lake (near),seely lake,
seffner,seffner,
seguin,seguin,
seguin (near),seguin,near
seika-cho (kyoto prefecture) (japan),seikacho,japan
seiling,seiling,
selah,selah,
selangor (malaysia),selangor,malaysia
selborne (hampshire) (uk/england),selborne,hampshire uk
selby (uk/england),selby,uk
selcuk (turkey),selcuk,turkey
selden,selden,
seldon,seldon,
selfridge air national guard,selfridge air national guard,
seligman,seligman,
seligman (15 miles west of),seligman,
seligman (40 mi east of),seligman,40 mi east of
seligman (near),seligman,near
selinsgrove,selinsgrove,
selinsgrove/williamsport (between&#44 on route 15),selinsgrovewilliamsport,
selkirk,selkirk,
selkirk (canada),selkirk,canada
selleck,selleck,
sellersburg,sellersburg,
sellic,sellic,
selma,selma,
semaphore (australia),semaphore,australia
sembach (germany),sembach,germany
seminary,seminary,
seminoe lake (near rawlins),seminoe lake,
seminole,seminole,
semmes,semmes,
senatobia,senatobia,
seneca,seneca,
seneca falls,seneca falls,
senecaville,senecaville,
senekal (south africa),senekal,south africa
senftenberg (germany),senftenberg,germany
senoia,senoia,
sentinel,sentinel,
seoul,seoul,
seoul (korea),seoul,korea
seoul (south korea),seoul,south korea
sept-iles (canada),septiles,canada
sequim,sequim,
sequoia national park,sequoia national park,
seremban (malaysia),seremban,malaysia
seremban&#44 negeri sembilan (malaysia),seremban44 negeri sembilan,malaysia
seria (brunei),seria,brunei
serra negra (brazil),serra negra,brazil
sertaozinho (brazil),sertaozinho,brazil
setif (algeria),setif,algeria
sevastopol (ukraine),sevastopol,ukraine
seven devils,seven devils,
seven hills,seven hills,
severa park,severa park,
severn,severn,
severn (northhampton) (uk/england),severn,northhampton uk
severn/glen burnie (bwi area),severnglen burnie,
severna park,severna park,
sevierville,sevierville,
sevierville/pigeon forge,seviervillepigeon forge,
seville,seville,
sewanee,sewanee,
seward,seward,
sewell,sewell,
sewell (washington township),sewell,washington township
sewickley,sewickley,
sewickly,sewickly,
seymore/farmer city/weldon area,seymorefarmer cityweldon area,
seymour,seymour,
seyssins (france),seyssins,france
shabaqua (thunder bay)  (canada),shabaqua,thunder bay canada
shabarimala (india),shabarimala,india
shabbona,shabbona,
shackle island community of hendersonville,shackle island community of hendersonville,
shacktinsk (khazakhstan),shacktinsk,khazakhstan
shade,shade,
shade gap,shade gap,
shady point,shady point,
shady shores,shady shores,
shady side,shady side,
shady spring,shady spring,
shadyside,shadyside,
shafer,shafer,
shafter,shafter,
shafter vor (in flight),shafter vor,
shaftesbury&#44 dorset (uk/england),shaftesbury44 dorset,uk
shaftsbury,shaftsbury,
shah alam (malaysia),shah alam,malaysia
shah alam/selangor (malaysia),shah alamselangor,malaysia
shahola falls,shahola falls,
shahrekord (iran),shahrekord,iran
shaker heights,shaker heights,
shakopee,shakopee,
shalimar,shalimar,
shallotte,shallotte,
shallotte (hwy 17),shallotte,
shallowater,shallowater,
shamokin,shamokin,
shamokin (coal township),shamokin,coal township
shanadoah,shanadoah,
shandanken,shandanken,
shanghai (china),shanghai,china
shanghai&#44 pudong new district (prc),shanghai44 pudong new district,
shanghi (china),shanghi,china
shannon,shannon,
shanty creek,shanty creek,
shapleigh,shapleigh,
sharjah,sharjah,
sharjah (dubai),sharjah,dubai
sharjah (u.a.e.),sharjah,united arab emirates
sharjah (uae),sharjah,united arab emirates
sharjah (united arab emirates),sharjah,united arab emirates
shark river hills,shark river hills,
sharldlow (derby) (uk/england),sharldlow,uk
sharm el sheikh (egypt),sharm el sheikh,egypt
sharon,sharon,
sharon (to brookfield&#44 oh),sharon,to brookfield44 oh
sharon springs,sharon springs,
sharourah (500 km north of) (empty quarter) (saudi arabia),sharourah,saudi arabia
sharps chapel,sharps chapel,
sharpsburg,sharpsburg,
sharpsville,sharpsville,
shartlesville,shartlesville,
